  batch      l2_tst    l2_trn     l2_etst   l2_etrn     l2_ftst   l2_ftrn         lr
 188000    7.24e+00  7.38e+00    8.31e-02  8.40e-02    2.54e-01  2.59e-01    4.1e-03
 189000    4.62e+00  5.00e+00    2.14e-02  2.16e-02    1.62e-01  1.75e-01    4.1e-03
 190000    3.13e+01  3.12e+01    2.56e-01  2.56e-01    1.10e+00  1.10e+00    4.0e-03
 191000    4.46e+00  4.22e+00    5.83e-02  5.83e-02    1.57e-01  1.49e-01    4.0e-03
 192000    2.83e+01  2.92e+01    5.67e-02  5.75e-02    9.99e-01  1.03e+00    4.0e-03
 193000    1.82e+01  1.79e+01    1.51e-01  1.52e-01    6.41e-01  6.32e-01    4.0e-03
 194000    5.18e+00  4.33e+00    8.89e-02  8.85e-02    1.83e-01  1.53e-01    4.0e-03
 195000    6.57e+00  5.91e+00    6.62e-02  6.56e-02    2.32e-01  2.09e-01    4.0e-03
 196000    5.68e+00  5.15e+00    4.94e-03  5.17e-03    2.00e-01  1.82e-01    4.0e-03
 197000    1.37e+01  1.28e+01    4.62e-02  4.80e-02    4.83e-01  4.51e-01    4.0e-03
 198000    2.83e+01  2.75e+01    3.22e-01  3.23e-01    9.99e-01  9.69e-01    4.0e-03
 199000    6.41e+00  5.78e+00    4.83e-02  5.06e-02    2.26e-01  2.04e-01    4.0e-03
 200000    1.80e+01  1.76e+01    8.96e-02  9.29e-02    6.37e-01  6.24e-01    4.0e-03
 201000    1.21e+01  1.16e+01    4.94e-02  4.88e-02    4.28e-01  4.10e-01    4.0e-03
 202000    5.38e+00  5.91e+00    4.63e-03  4.98e-03    1.91e-01  2.10e-01    4.0e-03
 203000    3.00e+00  2.91e+00    1.58e-02  1.57e-02    1.06e-01  1.03e-01    4.0e-03
 204000    7.93e+00  1.24e+01    1.17e-02  1.30e-02    2.81e-01  4.39e-01    4.0e-03
 205000    8.89e+00  9.76e+00    1.13e-01  1.13e-01    3.16e-01  3.46e-01    4.0e-03
 206000    2.82e+01  2.66e+01    1.84e-01  1.87e-01    9.99e-01  9.44e-01    4.0e-03
 207000    3.46e+01  3.45e+01    1.38e-02  1.21e-02    1.23e+00  1.22e+00    4.0e-03
 208000    2.51e+00  2.50e+00    1.34e-02  1.36e-02    8.92e-02  8.87e-02    4.0e-03
 209000    7.38e+00  7.06e+00    2.92e-02  2.97e-02    2.62e-01  2.51e-01    4.0e-03
 210000    1.21e+01  1.32e+01    1.09e-02  9.65e-03    4.32e-01  4.70e-01    3.9e-03
 211000    2.80e+01  2.71e+01    1.39e-01  1.40e-01    9.99e-01  9.66e-01    3.9e-03
 212000    5.00e+00  4.03e+00    1.29e-01  1.29e-01    1.78e-01  1.43e-01    3.9e-03
 213000    3.11e+00  2.75e+00    1.51e-02  1.46e-02    1.11e-01  9.80e-02    3.9e-03
 214000    2.80e+01  3.42e+01    6.04e-02  5.07e-02    1.00e+00  1.22e+00    3.9e-03
 215000    4.60e+00  4.91e+00    1.67e-02  1.63e-02    1.64e-01  1.75e-01    3.9e-03
 216000    1.46e+01  1.32e+01    7.57e-02  7.62e-02    5.21e-01  4.72e-01    3.9e-03
 217000    3.36e+00  3.68e+00    6.11e-03  6.25e-03    1.20e-01  1.31e-01    3.9e-03
 218000    7.82e+00  5.86e+00    3.21e-03  2.92e-03    2.79e-01  2.09e-01    3.9e-03
 219000    2.80e+01  2.70e+01    3.91e-02  4.01e-02    9.99e-01  9.63e-01    3.9e-03
 220000    3.74e+00  3.45e+00    3.94e-02  3.94e-02    1.34e-01  1.24e-01    3.9e-03
 221000    1.69e+01  1.74e+01    2.73e-02  2.66e-02    6.05e-01  6.23e-01    3.9e-03
 222000    2.78e+01  2.69e+01    1.65e-02  1.64e-02    9.99e-01  9.66e-01    3.9e-03
 223000    2.07e+01  2.16e+01    9.84e-02  9.80e-02    7.42e-01  7.75e-01    3.9e-03
 224000    1.36e+01  1.50e+01    3.36e-02  3.40e-02    4.88e-01  5.37e-01    3.9e-03
 225000    2.74e+00  2.69e+00    1.44e-02  1.45e-02    9.82e-02  9.67e-02    3.9e-03
 226000    1.38e+01  1.44e+01    1.16e-01  1.15e-01    4.94e-01  5.17e-01    3.9e-03
 227000    5.80e+00  7.78e+00    2.49e-02  2.50e-02    2.08e-01  2.79e-01    3.9e-03
 228000    6.23e+00  5.80e+00    9.73e-02  9.75e-02    2.24e-01  2.08e-01    3.9e-03
 229000    1.63e+01  1.64e+01    4.74e-03  5.98e-03    5.84e-01  5.89e-01    3.9e-03
 230000    2.77e+01  2.54e+01    4.25e-01  4.19e-01    9.99e-01  9.16e-01    3.8e-03
 231000    2.77e+01  2.85e+01    6.01e-02  5.82e-02    9.99e-01  1.03e+00    3.8e-03
 232000    1.66e+01  1.65e+01    2.41e-01  2.39e-01    5.99e-01  5.96e-01    3.8e-03
 233000    3.20e+00  3.21e+00    2.73e-02  2.73e-02    1.15e-01  1.16e-01    3.8e-03
 234000    2.77e+01  2.68e+01    2.04e-02  2.04e-02    9.99e-01  9.67e-01    3.8e-03
 235000    4.49e+00  3.69e+00    9.72e-03  1.04e-02    1.62e-01  1.33e-01    3.8e-03
 236000    1.24e+01  1.27e+01    5.14e-02  5.00e-02    4.48e-01  4.58e-01    3.8e-03
 237000    2.90e+00  2.42e+00    1.10e-02  1.08e-02    1.05e-01  8.74e-02    3.8e-03
 238000    7.20e+00  7.34e+00    1.14e-01  1.14e-01    2.60e-01  2.65e-01    3.8e-03
 239000    6.11e+00  6.22e+00    3.32e-02  3.25e-02    2.21e-01  2.24e-01    3.8e-03
 240000    8.54e+00  8.76e+00    2.06e-01  2.05e-01    3.10e-01  3.18e-01    3.8e-03
